	File	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	window_mean	Normalized_Window_Mean	Percent_Transmission
0	X401x492-2m1.xml	2	145	545	64	16	48	8.97231061542391e-05	345.0	0.0	0.25
1	X401x492-2m1.xml	2	147	547	63	15	48	4.6402715469026154e-05	347.0	0.0016181229773462784	0.23809523809523808
2	X401x492-2m1.xml	2	149	549	62	14	48	2.293159794297126e-05	349.0	0.003236245954692557	0.22580645161290322
3	X401x492-2m1.xml	2	151	551	62	14	48	2.293159794297126e-05	351.0	0.0048543689320388345	0.22580645161290322
4	X401x492-2m1.xml	2	153	553	62	14	48	2.293159794297126e-05	353.0	0.006472491909385114	0.22580645161290322
5	X401x492-2m1.xml	2	155	555	62	14	48	2.293159794297126e-05	355.0	0.008090614886731391	0.22580645161290322
6	X401x492-2m1.xml	2	157	557	63	14	49	1.5485264889178404e-05	357.0	0.009708737864077669	0.2222222222222222
7	X401x492-2m1.xml	2	159	559	64	14	50	1.0437516943959827e-05	359.0	0.011326860841423949	0.21875
8	X401x492-2m1.xml	2	161	561	64	14	50	1.0437516943959827e-05	361.0	0.012944983818770227	0.21875
9	X401x492-2m1.xml	2	163	563	65	14	51	7.113964683280524e-06	363.0	0.014563106796116505	0.2153846153846154
10	X401x492-2m1.xml	2	165	565	66	14	52	4.885165202830766e-06	365.0	0.016181229773462782	0.21212121212121213
11	X401x492-2m1.xml	2	167	567	67	14	53	3.2535471840581453e-06	367.0	0.01779935275080906	0.208955223880597
12	X401x492-2m1.xml	2	169	569	68	14	54	2.133014256020122e-06	369.0	0.019417475728155338	0.20588235294117646
13	X401x492-2m1.xml	2	171	571	66	14	52	4.885165202830766e-06	371.0	0.021035598705501618	0.21212121212121213
14	X401x492-2m1.xml	2	173	573	65	14	51	7.113964683280524e-06	373.0	0.022653721682847898	0.2153846153846154
15	X401x492-2m1.xml	2	175	575	65	14	51	7.113964683280524e-06	375.0	0.024271844660194174	0.2153846153846154
16	X401x492-2m1.xml	2	177	577	65	14	51	7.113964683280524e-06	377.0	0.025889967637540454	0.2153846153846154
17	X401x492-2m1.xml	2	179	579	65	14	51	7.113964683280524e-06	379.0	0.02750809061488673	0.2153846153846154
18	X401x492-2m1.xml	2	181	581	68	15	53	6.669684656073544e-06	381.0	0.02912621359223301	0.22058823529411764
19	X401x492-2m1.xml	2	183	583	68	15	53	6.669684656073544e-06	383.0	0.030744336569579287	0.22058823529411764
20	X401x492-2m1.xml	2	185	585	68	15	53	6.669684656073544e-06	385.0	0.032362459546925564	0.22058823529411764
21	X401x492-2m1.xml	2	187	587	68	15	53	6.669684656073544e-06	387.0	0.03398058252427184	0.22058823529411764
22	X401x492-2m1.xml	2	189	589	68	15	53	6.669684656073544e-06	389.0	0.03559870550161812	0.22058823529411764
23	X401x492-2m1.xml	2	191	591	69	16	53	1.273967658148948e-05	391.0	0.0372168284789644	0.2318840579710145
24	X401x492-2m1.xml	2	193	593	68	16	52	1.876996996568641e-05	393.0	0.038834951456310676	0.23529411764705882
25	X401x492-2m1.xml	2	195	595	68	16	52	1.876996996568641e-05	395.0	0.040453074433656956	0.23529411764705882
26	X401x492-2m1.xml	2	197	597	67	15	52	9.678492012900815e-06	397.0	0.042071197411003236	0.22388059701492538
27	X401x492-2m1.xml	2	199	599	67	15	52	9.678492012900815e-06	399.0	0.043689320388349516	0.22388059701492538
28	X401x492-2m1.xml	2	201	601	67	15	52	9.678492012900815e-06	401.0	0.045307443365695796	0.22388059701492538
