	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope
0	X440-1x402	455	38.505494505494504	0.578430511241959	5.305e-87	-0.00011
1	X402x467B-3m1	415	3.1325301204819276	0.0	1.000e+00	0.0
2	X402x441-2m3	494	84.42914979757084	0.7763908209191939	3.845e-162	-0.00012
3	X402x439-1m2	653	51.05972434915773	0.4053475349074651	1.632e-75	7e-05
4	X402x517-4m1	692	67.66184971098266	0.0015967728360376224	2.939e-01	-0.0
5	X402x4-1m3	651	57.665130568356375	0.1417003414875581	2.409e-23	-3e-05
6	X400x485L-3m1	481	47.67775467775468	0.20925986565961685	2.999e-26	-7e-05
7	X479A-1x402	430	42.967441860465115	0.028625093948355718	4.257e-04	1e-05
8	X400x552AL-11m2	469	3.2260127931769724	0.009038083091891275	3.959e-02	1e-05
9	X402x489-3m3	512	73.798828125	0.5935709354554696	8.948e-102	0.00012
10	X401x466-1m1	514	68.7976653696498	0.3005395089538191	1.163e-41	-5e-05
11	X403x505A-2m2	686	61.84839650145773	0.0195547554156057	2.388e-04	2e-05
12	X402x423-2m3	585	84.31452991452991	0.06110477778489355	1.358e-09	-2e-05
13	X573B-7x410	621	23.428341384863124	0.4253776398015199	1.658e-76	0.00012
14	X400x554A-4m3	394	0.0	0.0	1.000e+00	0.0
15	X402x449A-1m1	624	39.09935897435897	0.5334198232593564	4.751e-105	-0.0001
16	X403x486-1m1	531	64.71751412429379	1.3985813370913171e-06	9.783e-01	0.0
17	X422-2x402	399	32.97744360902256	0.07102412142983	6.490e-08	4e-05
18	X401x440-3m1	347	48.36599423631124	0.49838412414334227	1.249e-53	-9e-05
19	X400x552AL-3m2	379	5.6596306068601585	0.08072028341565651	1.810e-08	2e-05
20	X400x554A-4m2	222	1.3018018018018018	0.4190101615801936	9.440e-28	8e-05
21	X402x423-2m2	476	79.93697478991596	0.027755447877141935	2.615e-04	-1e-05
22	X401x469A-2m1	674	57.5919881305638	0.040144213183213755	1.560e-07	-1e-05
23	X447-3x402	645	47.72403100775194	0.5545192442182844	5.293e-115	-7e-05
24	X400x552AL-11m3	272	0.8713235294117647	0.056097275507703645	7.997e-05	3e-05
25	X402x489-3m2	582	69.83676975945018	0.11690588537010212	2.102e-17	-3e-05
26	X498L-2x403	601	72.00166389351081	0.0338838823497228	5.568e-06	-2e-05
27	X417-2x402	455	35.90769230769231	0.2383669053460391	1.252e-28	5e-05
28	X402x421-5m1	526	58.4828897338403	0.44214476063966096	2.027e-68	-0.00015
29	X4-1x402	435	43.763218390804596	0.40773577691601826	3.361e-51	-7e-05
30	X401x521-1m1	603	47.53897180762852	0.47700987052990146	1.201e-86	0.00018
31	X400x454L-1m1	538	28.226765799256505	0.6243864040921603	4.673e-116	-0.00014
32	X402x439-1m3	502	48.322709163346616	0.05292044404404631	1.874e-07	-2e-05
33	X402x441-2m2	557	68.69658886894075	0.8529630302968353	3.349e-233	-0.00011
34	X403x4-2m3	656	52.519817073170735	0.020343868860239065	2.474e-04	-1e-05
35	X402x490-3m1	478	30.05857740585774	0.028530497940532043	2.073e-04	-2e-05
36	X401x3-6m4	655	43.908396946564885	0.696391793928075	3.532e-171	-0.0001
37	X403x552AL-7m1	489	7.431492842535787	0.7799869465903085	3.147e-162	0.00011
38	X401x517-1m1	395	54.617721518987345	0.7178396699570151	4.994e-110	0.00012
39	X403x4-2m1	695	54.71798561151079	0.08763717281932991	1.592e-15	2e-05
40	X570AL-1x400	478	56.01673640167364	0.7963055392026501	1.410e-166	-0.0001
41	X400x485L-3m2	539	38.430426716141	0.0029329679516078688	2.094e-01	1e-05
42	X441-2x402	563	50.19538188277087	0.25484711640186475	9.699e-38	-7e-05
43	X488-2x402	631	33.90491283676704	0.414816680173565	3.205e-75	-6e-05
44	X402x421-5m3	502	63.97011952191235	0.8196937700329926	3.962e-188	-0.00012
45	X437-1x402	441	37.86621315192744	0.2046482408257894	1.242e-23	7e-05
46	X400x515L-3m1	423	49.04491725768322	0.04950281451890555	3.828e-06	-2e-05
47	X400x514L-3m1	483	48.53830227743271	0.001670166278612766	3.701e-01	-1e-05
48	X400x552AL-11m1	392	0.39540816326530615	0.7684825552004073	5.712e-126	0.00021
49	X400x429L-1m1	506	49.65217391304348	0.38178969231084514	1.332e-54	7e-05
50	X401x438-2m1	534	40.93258426966292	0.30776593877629943	1.996e-44	-5e-05
51	X401x420-4m1	521	61.44529750479847	0.6737434616602068	2.501e-128	0.00017
52	X462A-3x402	500	46.424	0.1014948996204538	2.945e-13	3e-05
53	X402x537A-1m3	563	46.257548845470694	0.21304978301164174	4.714e-31	6e-05
54	X490-1x402	593	54.20910623946037	0.0031568860905438314	1.718e-01	0.0
55	X400x463AL-1m1	389	41.498714652956295	0.7646198462019543	1.268e-123	0.00022
56	X400x485-5m1	564	54.29964539007092	0.1265056225747543	2.916e-18	-4e-05
57	X400x534-2m2	517	57.55125725338491	0.41060119859450794	4.152e-61	9e-05
