	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Percent_Transmission
0	2	145	545	64	16	48	6.334248366623988e-05	< p = 0.05	345.0	0.25
1	2	147	547	63	15	48	3.2159555632006816e-05	< p = 0.05	347.0	0.23809523809523808
2	2	149	549	62	14	48	1.5744635098162822e-05	< p = 0.05	349.0	0.22580645161290322
3	2	151	551	62	14	48	1.5744635098162822e-05	< p = 0.05	351.0	0.22580645161290322
4	2	153	553	62	14	48	1.5744635098162822e-05	< p = 0.05	353.0	0.22580645161290322
5	2	155	555	62	14	48	1.5744635098162822e-05	< p = 0.05	355.0	0.22580645161290322
6	2	157	557	63	14	49	1.0356865370145168e-05	< p = 0.05	357.0	0.2222222222222222
7	2	159	559	64	14	50	6.795346249460114e-06	< p = 0.05	359.0	0.21875
8	2	161	561	64	14	50	6.795346249460114e-06	< p = 0.05	361.0	0.21875
9	2	163	563	65	14	51	4.44766451119477e-06	< p = 0.05	363.0	0.2153846153846154
10	2	165	565	66	14	52	2.904266227207951e-06	< p = 0.05	365.0	0.21212121212121213
11	2	167	567	67	14	53	1.8922083784506177e-06	< p = 0.05	367.0	0.208955223880597
12	2	169	569	68	14	54	1.23018754345587e-06	< p = 0.05	369.0	0.20588235294117646
13	2	171	571	66	14	52	2.904266227207951e-06	< p = 0.05	371.0	0.21212121212121213
14	2	173	573	65	14	51	4.44766451119477e-06	< p = 0.05	373.0	0.2153846153846154
15	2	175	575	65	14	51	4.44766451119477e-06	< p = 0.05	375.0	0.2153846153846154
16	2	177	577	65	14	51	4.44766451119477e-06	< p = 0.05	377.0	0.2153846153846154
17	2	179	579	65	14	51	4.44766451119477e-06	< p = 0.05	379.0	0.2153846153846154
18	2	181	581	68	15	53	4.062150428658685e-06	< p = 0.05	381.0	0.22058823529411764
19	2	183	583	68	15	53	4.062150428658685e-06	< p = 0.05	383.0	0.22058823529411764
20	2	185	585	68	15	53	4.062150428658685e-06	< p = 0.05	385.0	0.22058823529411764
21	2	187	587	68	15	53	4.062150428658685e-06	< p = 0.05	387.0	0.22058823529411764
22	2	189	589	68	15	53	4.062150428658685e-06	< p = 0.05	389.0	0.22058823529411764
23	2	191	591	69	16	53	8.417653831711143e-06	< p = 0.05	391.0	0.2318840579710145
24	2	193	593	68	16	52	1.2675036261158191e-05	< p = 0.05	393.0	0.23529411764705882
