	File	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Normalized_Window_Mean	Percent_Transmission
0	X4-1x402.xml	2	248	648	92	49	43	0.5316145768816123	> p = 0.05	448.0	0.0	0.532608695652174
1	X4-1x402.xml	2	250	650	92	49	43	0.5316145768816123	> p = 0.05	450.0	0.002304147465437788	0.532608695652174
2	X4-1x402.xml	2	252	652	92	49	43	0.5316145768816123	> p = 0.05	452.0	0.004608294930875576	0.532608695652174
3	X4-1x402.xml	2	254	654	92	49	43	0.5316145768816123	> p = 0.05	454.0	0.0069124423963133645	0.532608695652174
4	X4-1x402.xml	2	256	656	92	49	43	0.5316145768816123	> p = 0.05	456.0	0.009216589861751152	0.532608695652174
5	X4-1x402.xml	2	258	658	92	49	43	0.5316145768816123	> p = 0.05	458.0	0.01152073732718894	0.532608695652174
6	X4-1x402.xml	2	260	660	93	50	43	0.467920807331738	> p = 0.05	460.0	0.013824884792626729	0.5376344086021505
7	X4-1x402.xml	2	262	662	92	49	43	0.5316145768816123	> p = 0.05	462.0	0.016129032258064516	0.532608695652174
8	X4-1x402.xml	2	264	664	93	49	44	0.6041263073291685	> p = 0.05	464.0	0.018433179723502304	0.5268817204301075
9	X4-1x402.xml	2	266	666	92	48	44	0.6766573217164242	> p = 0.05	466.0	0.020737327188940093	0.5217391304347826
10	X4-1x402.xml	2	268	668	92	48	44	0.6766573217164242	> p = 0.05	468.0	0.02304147465437788	0.5217391304347826
11	X4-1x402.xml	2	270	670	92	49	43	0.5316145768816123	> p = 0.05	470.0	0.02534562211981567	0.532608695652174
12	X4-1x402.xml	2	272	672	91	48	43	0.6001794871405537	> p = 0.05	472.0	0.027649769585253458	0.5274725274725275
13	X4-1x402.xml	2	274	674	91	48	43	0.6001794871405537	> p = 0.05	474.0	0.029953917050691243	0.5274725274725275
14	X4-1x402.xml	2	276	676	92	49	43	0.5316145768816123	> p = 0.05	476.0	0.03225806451612903	0.532608695652174
15	X4-1x402.xml	2	278	678	93	49	44	0.6041263073291685	> p = 0.05	478.0	0.03456221198156682	0.5268817204301075
16	X4-1x402.xml	2	280	680	93	49	44	0.6041263073291685	> p = 0.05	480.0	0.03686635944700461	0.5268817204301075
17	X4-1x402.xml	2	282	682	95	49	46	0.7582394636149119	> p = 0.05	482.0	0.03917050691244239	0.5157894736842106
18	X4-1x402.xml	2	284	684	96	49	47	0.8382564863858263	> p = 0.05	484.0	0.041474654377880185	0.5104166666666666
19	X4-1x402.xml	2	286	686	97	49	48	0.9191260795347785	> p = 0.05	486.0	0.04377880184331797	0.5051546391752577
20	X4-1x402.xml	2	288	688	99	50	49	0.9199443808170074	> p = 0.05	488.0	0.04608294930875576	0.5050505050505051
21	X4-1x402.xml	2	290	690	98	49	49	1.0	> p = 0.05	490.0	0.04838709677419355	0.5
22	X4-1x402.xml	2	292	692	96	47	49	0.8382564863858263	> p = 0.05	492.0	0.05069124423963134	0.4895833333333333
23	X4-1x402.xml	2	294	694	97	48	49	0.9191260795347785	> p = 0.05	494.0	0.052995391705069124	0.4948453608247423
24	X4-1x402.xml	2	296	696	97	48	49	0.9191260795347785	> p = 0.05	496.0	0.055299539170506916	0.4948453608247423
25	X4-1x402.xml	2	298	698	97	48	49	0.9191260795347785	> p = 0.05	498.0	0.0576036866359447	0.4948453608247423
26	X4-1x402.xml	2	300	700	97	48	49	0.9191260795347785	> p = 0.05	500.0	0.059907834101382486	0.4948453608247423
27	X4-1x402.xml	2	302	702	97	48	49	0.9191260795347785	> p = 0.05	502.0	0.06221198156682028	0.4948453608247423
28	X4-1x402.xml	2	304	704	96	48	48	1.0	> p = 0.05	504.0	0.06451612903225806	0.5
29	X4-1x402.xml	2	306	706	96	48	48	1.0	> p = 0.05	506.0	0.06682027649769585	0.5
30	X4-1x402.xml	2	308	708	96	48	48	1.0	> p = 0.05	508.0	0.06912442396313365	0.5
