	File	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	Fluor2	Nonfluor2	Fluor3	Nonfluor3	Fluor4	Nonfluor4	Fluor5	Nonfluor5	P-Value	Comparison	P2-Value	Comparison2	P3-Value	Comparison3	P4-Value	Comparison4	P5-Value	Comparison5	window_mean	Normalized_Window_Mean	Percent_Transmission	Percent_Transmission2	Percent_Transmission3	Percent_Transmission4	Percent_Transmission5
0	X4-1x402.xml	2	248	648	92	47	45	46	46	42	50	46	46	50	42	0.8348273291852392	> p = 0.05	1.0	> p = 0.05	0.4042484947394712	> p = 0.05	1.0	> p = 0.05	0.4042484947394712	> p = 0.05	448.0	0.0	0.5108695652173914	0.5	0.45652173913043476	0.5	0.5434782608695652
1	X4-1x402.xml	2	250	650	92	47	45	47	45	43	49	46	46	49	43	0.8348273291852392	> p = 0.05	0.8348273291852392	> p = 0.05	0.5316145768816123	> p = 0.05	1.0	> p = 0.05	0.5316145768816123	> p = 0.05	450.0	0.002304147465437788	0.5108695652173914	0.5108695652173914	0.4673913043478261	0.5	0.532608695652174
2	X4-1x402.xml	2	252	652	92	47	45	47	45	43	49	46	46	49	43	0.8348273291852392	> p = 0.05	0.8348273291852392	> p = 0.05	0.5316145768816123	> p = 0.05	1.0	> p = 0.05	0.5316145768816123	> p = 0.05	452.0	0.004608294930875576	0.5108695652173914	0.5108695652173914	0.4673913043478261	0.5	0.532608695652174
3	X4-1x402.xml	2	254	654	92	47	45	47	45	43	49	46	46	49	43	0.8348273291852392	> p = 0.05	0.8348273291852392	> p = 0.05	0.5316145768816123	> p = 0.05	1.0	> p = 0.05	0.5316145768816123	> p = 0.05	454.0	0.0069124423963133645	0.5108695652173914	0.5108695652173914	0.4673913043478261	0.5	0.532608695652174
4	X4-1x402.xml	2	256	656	92	47	45	47	45	43	49	46	46	49	43	0.8348273291852392	> p = 0.05	0.8348273291852392	> p = 0.05	0.5316145768816123	> p = 0.05	1.0	> p = 0.05	0.5316145768816123	> p = 0.05	456.0	0.009216589861751152	0.5108695652173914	0.5108695652173914	0.4673913043478261	0.5	0.532608695652174
5	X4-1x402.xml	2	258	658	92	47	45	47	45	43	49	46	46	49	43	0.8348273291852392	> p = 0.05	0.8348273291852392	> p = 0.05	0.5316145768816123	> p = 0.05	1.0	> p = 0.05	0.5316145768816123	> p = 0.05	458.0	0.01152073732718894	0.5108695652173914	0.5108695652173914	0.4673913043478261	0.5	0.532608695652174
6	X4-1x402.xml	2	260	660	93	48	45	48	45	43	50	47	46	50	43	0.755735617573727	> p = 0.05	0.755735617573727	> p = 0.05	0.467920807331738	> p = 0.05	0.917411260192041	> p = 0.05	0.467920807331738	> p = 0.05	460.0	0.013824884792626729	0.5161290322580645	0.5161290322580645	0.46236559139784944	0.5053763440860215	0.5376344086021505
7	X4-1x402.xml	2	262	662	92	47	45	48	44	43	49	46	46	50	42	0.8348273291852392	> p = 0.05	0.6766573217164242	> p = 0.05	0.5316145768816123	> p = 0.05	1.0	> p = 0.05	0.4042484947394712	> p = 0.05	462.0	0.016129032258064516	0.5108695652173914	0.5217391304347826	0.4673913043478261	0.5	0.5434782608695652
8	X4-1x402.xml	2	264	664	93	47	46	49	44	44	49	47	46	51	42	0.917411260192041	> p = 0.05	0.6041263073291685	> p = 0.05	0.6041263073291685	> p = 0.05	0.917411260192041	> p = 0.05	0.35068753604798364	> p = 0.05	464.0	0.018433179723502304	0.5053763440860215	0.5268817204301075	0.4731182795698925	0.5053763440860215	0.5483870967741935
9	X4-1x402.xml	2	266	666	92	47	45	48	44	43	49	46	46	50	42	0.8348273291852392	> p = 0.05	0.6766573217164242	> p = 0.05	0.5316145768816123	> p = 0.05	1.0	> p = 0.05	0.4042484947394712	> p = 0.05	466.0	0.020737327188940093	0.5108695652173914	0.5217391304347826	0.4673913043478261	0.5	0.5434782608695652
10	X4-1x402.xml	2	268	668	92	47	45	48	44	43	49	46	46	50	42	0.8348273291852392	> p = 0.05	0.6766573217164242	> p = 0.05	0.5316145768816123	> p = 0.05	1.0	> p = 0.05	0.4042484947394712	> p = 0.05	468.0	0.02304147465437788	0.5108695652173914	0.5217391304347826	0.4673913043478261	0.5	0.5434782608695652
11	X4-1x402.xml	2	270	670	92	46	46	48	44	42	50	46	46	50	42	1.0	> p = 0.05	0.6766573217164242	> p = 0.05	0.4042484947394712	> p = 0.05	1.0	> p = 0.05	0.4042484947394712	> p = 0.05	470.0	0.02534562211981567	0.5	0.5217391304347826	0.45652173913043476	0.5	0.5434782608695652
12	X4-1x402.xml	2	272	672	91	45	46	47	44	41	50	46	45	49	42	0.916511907863894	> p = 0.05	0.7531523647659144	> p = 0.05	0.3454475304692257	> p = 0.05	0.916511907863894	> p = 0.05	0.463071015014588	> p = 0.05	472.0	0.027649769585253458	0.4945054945054945	0.5164835164835165	0.45054945054945056	0.5054945054945055	0.5384615384615384
13	X4-1x402.xml	2	274	674	91	45	46	47	44	41	50	46	45	49	42	0.916511907863894	> p = 0.05	0.7531523647659144	> p = 0.05	0.3454475304692257	> p = 0.05	0.916511907863894	> p = 0.05	0.463071015014588	> p = 0.05	474.0	0.029953917050691243	0.4945054945054945	0.5164835164835165	0.45054945054945056	0.5054945054945055	0.5384615384615384
14	X4-1x402.xml	2	276	676	92	45	47	48	44	42	50	47	45	49	43	0.8348273291852392	> p = 0.05	0.6766573217164242	> p = 0.05	0.4042484947394712	> p = 0.05	0.8348273291852392	> p = 0.05	0.5316145768816123	> p = 0.05	476.0	0.03225806451612903	0.4891304347826087	0.5217391304347826	0.45652173913043476	0.5108695652173914	0.532608695652174
15	X4-1x402.xml	2	278	678	93	45	48	49	44	42	51	48	45	50	43	0.755735617573727	> p = 0.05	0.6041263073291685	> p = 0.05	0.35068753604798364	> p = 0.05	0.755735617573727	> p = 0.05	0.467920807331738	> p = 0.05	478.0	0.03456221198156682	0.4838709677419355	0.5268817204301075	0.45161290322580644	0.5161290322580645	0.5376344086021505
16	X4-1x402.xml	2	280	680	93	45	48	49	44	42	51	48	45	50	43	0.755735617573727	> p = 0.05	0.6041263073291685	> p = 0.05	0.35068753604798364	> p = 0.05	0.755735617573727	> p = 0.05	0.467920807331738	> p = 0.05	480.0	0.03686635944700461	0.4838709677419355	0.5268817204301075	0.45161290322580644	0.5161290322580645	0.5376344086021505
17	X4-1x402.xml	2	282	682	95	46	49	50	45	44	51	49	46	52	43	0.7582394636149119	> p = 0.05	0.607958892174999	> p = 0.05	0.47264332017124944	> p = 0.05	0.7582394636149119	> p = 0.05	0.35580894131397744	> p = 0.05	482.0	0.03917050691244239	0.4842105263157895	0.5263157894736842	0.4631578947368421	0.5157894736842106	0.5473684210526316
18	X4-1x402.xml	2	284	684	96	47	49	50	46	45	51	50	46	52	44	0.8382564863858263	> p = 0.05	0.6830913983096086	> p = 0.05	0.5402913746074198	> p = 0.05	0.6830913983096086	> p = 0.05	0.4142161782425251	> p = 0.05	484.0	0.041474654377880185	0.4895833333333333	0.5208333333333334	0.46875	0.5208333333333334	0.5416666666666666
19	X4-1x402.xml	2	286	686	97	47	50	51	46	45	52	51	46	53	44	0.7606678877645499	> p = 0.05	0.6116826285655788	> p = 0.05	0.477243932338015	> p = 0.05	0.6116826285655788	> p = 0.05	0.3608158770840829	> p = 0.05	486.0	0.04377880184331797	0.4845360824742268	0.5257731958762887	0.4639175257731959	0.5257731958762887	0.5463917525773195
20	X4-1x402.xml	2	288	688	99	48	51	52	47	45	54	52	47	54	45	0.763024600552995	> p = 0.05	0.615302555690511	> p = 0.05	0.36571229628151314	> p = 0.05	0.615302555690511	> p = 0.05	0.36571229628151314	> p = 0.05	488.0	0.04608294930875576	0.48484848484848486	0.5252525252525253	0.45454545454545453	0.5252525252525253	0.5454545454545454
21	X4-1x402.xml	2	290	690	98	47	51	51	47	44	54	52	46	54	44	0.6861678498552392	> p = 0.05	0.6861678498552392	> p = 0.05	0.3124222112426905	> p = 0.05	0.5444539772747027	> p = 0.05	0.3124222112426905	> p = 0.05	490.0	0.04838709677419355	0.47959183673469385	0.5204081632653061	0.4489795918367347	0.5306122448979592	0.5510204081632653
