	Comparison	Comparison1	Comparison2	Comparison3	Comparison4	Comparison5	File	Fluor1	Fluor2	Fluor3	Fluor4	Fluor5	NonFluor1	NonFluor2	NonFluor3	NonFluor4	NonFluor5	P-Value	P-Value1	P-Value2	P-Value3	P-Value4	P-Value5	Percent_1Transmission	Percent_2Transmission	Percent_3Transmission	Percent_4Transmission	Percent_5Transmission	Percent_Transmission	Step_Size	Total_Fluor	Total_Kernels	Total_NonFluor	Window_End	Window_Start	window_mean
0		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		2.6955626732713873e-80	1.5974824504688209e-80	4.712795517112783e-81	6.921390792616821e-82	1.9437521505497587e-80	1.5	1.434782608695652	1.5869565217391304	1.3478260869565217	1.4456521739130435		2		92		648	248	448.0
1		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		2.6955626732713873e-80	1.5974824504688209e-80	4.712795517112783e-81	6.921390792616821e-82	1.9437521505497587e-80	1.5	1.434782608695652	1.5869565217391304	1.3478260869565217	1.4456521739130435		2		92		650	250	450.0
2		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		2.6955626732713873e-80	1.5974824504688209e-80	4.712795517112783e-81	6.921390792616821e-82	1.9437521505497587e-80	1.5	1.434782608695652	1.5869565217391304	1.3478260869565217	1.4456521739130435		2		92		652	252	452.0
3		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		2.6955626732713873e-80	1.5974824504688209e-80	4.712795517112783e-81	6.921390792616821e-82	1.9437521505497587e-80	1.5	1.434782608695652	1.5869565217391304	1.3478260869565217	1.4456521739130435		2		92		654	254	454.0
4		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		2.6955626732713873e-80	1.5974824504688209e-80	4.712795517112783e-81	6.921390792616821e-82	1.9437521505497587e-80	1.5	1.434782608695652	1.5869565217391304	1.3478260869565217	1.4456521739130435		2		92		656	256	456.0
5		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		2.6955626732713873e-80	1.5974824504688209e-80	4.712795517112783e-81	6.921390792616821e-82	1.9437521505497587e-80	1.5	1.434782608695652	1.5869565217391304	1.3478260869565217	1.4456521739130435		2		92		658	258	458.0
6		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		1.3295693108577439e-78	7.92368571137747e-79	2.3683122120275377e-79	3.550282520559793e-80	9.621015818312136e-79	1.4838709677419355	1.4193548387096775	1.5698924731182795	1.3333333333333333	1.4301075268817205		2		93		660	260	460.0
7		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		2.6955626732713873e-80	1.5974824504688209e-80	4.712795517112783e-81	6.921390792616821e-82	1.9437521505497587e-80	1.5	1.434782608695652	1.5869565217391304	1.3478260869565217	1.4456521739130435		2		92		662	262	462.0
8		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		1.3295693108577439e-78	7.92368571137747e-79	2.3683122120275377e-79	3.550282520559793e-80	9.621015818312136e-79	1.4838709677419355	1.4193548387096775	1.5698924731182795	1.3333333333333333	1.4301075268817205		2		93		664	264	464.0
9		< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	< p = 0.05	X4-1x402.xml	138.0	132.0	146.0	124.0	133.0	136.0	142.0	128.0	150.0	141.0		2.6955626732713873e-80	1.5974824504688209e-80	4.712795517112783e-81	6.921390792616821e-82	1.9437521505497587e-80	1.5	1.434782608695652	1.5869565217391304	1.3478260869565217	1.4456521739130435		2		92		666	266	466.0
