CMDLINE python Family_Graphs.py
MEM 0.128906 1563573351.5561
MEM 7.425781 1563573351.6606
MEM 12.199219 1563573351.7704
MEM 16.660156 1563573351.8791
MEM 21.265625 1563573351.9825
MEM 26.765625 1563573352.0860
MEM 31.296875 1563573352.1894
MEM 35.031250 1563573352.2947
MEM 43.941406 1563573352.3985
MEM 50.871094 1563573352.5043
MEM 53.246094 1563573352.6132
MEM 55.164062 1563573352.7183
MEM 59.570312 1563573352.8228
MEM 63.246094 1563573352.9290
MEM 64.476562 1563573353.0352
MEM 67.613281 1563573353.1450
MEM 75.996094 1563573353.2494
MEM 81.414062 1563573353.3526
MEM 88.167969 1563573353.4560
MEM 90.847656 1563573353.5644
MEM 91.523438 1563573353.6741
MEM 100.980469 1563573353.7820
MEM 103.101562 1563573353.8918
MEM 121.265625 1563573353.9980
MEM 146.589844 1563573354.1063
MEM 156.910156 1563573354.2125
MEM 139.535156 1563573354.3169
MEM 162.847656 1563573354.4251
MEM 162.847656 1563573354.5286
MEM 179.953125 1563573354.6327
MEM 179.953125 1563573354.7408
MEM 126.308594 1563573354.8460
MEM 112.363281 1563573354.9501
MEM 117.140625 1563573355.0596
MEM 118.207031 1563573355.1650
MEM 118.386719 1563573355.2719
MEM 118.617188 1563573355.3799
MEM 118.687500 1563573355.4854
MEM 119.273438 1563573355.5913
MEM 121.042969 1563573355.6988
MEM 121.515625 1563573355.8031
MEM 121.632812 1563573355.9110
MEM 123.273438 1563573356.0204
MEM 118.085938 1563573356.1284
